Latitude,Longitude  ,_Time_,Route,WhichBusStop
0,0,3801,Blue,
33.787289,-84.405647,3802,Blue,
33.787281,-84.40567,3907,Blue,
33.78727,-84.405678,3937,Blue,
33.787251,-84.405647,4146,Blue,
33.787239,-84.405647,4246,Blue,
33.787258,-84.405663,4357,Blue,
33.787258,-84.405762,4410,Blue,
33.787258,-84.405739,4419,Blue,
33.787201,-84.40538,4439,Blue,
33.787209,-84.405357,4622,Blue,
33.787121,-84.405281,4634,Blue,
33.787128,-84.405281,4652,Blue,
33.786282,-84.405281,4720,Blue,
33.786289,-84.405281,4732,Blue,
33.786011,-84.406914,4802,Blue,
33.783428,-84.40538,4832,Blue,
33.781761,-84.404343,4856,Blue,
33.781738,-84.404373,4930,Blue,
33.781719,-84.404358,4933,Blue,
33.781719,-84.404358,4935,Blue,
33.779831,-84.402672,5005,Blue,
33.777981,-84.401863,5035,Blue,
33.777199,-84.403091,5105,Blue,
33.77784,-84.404213,5135,Blue,
33.778252,-84.404182,5149,Blue,
33.778252,-84.404182,5150,Blue,
33.778301,-84.404137,5319,Blue,
33.778301,-84.404137,5328,Blue,Smith Dorm
33.778332,-84.404152,5332,Blue,
33.778339,-84.404152,5336,Blue,
33.77951,-84.404259,5406,Blue,
33.779579,-84.403023,5431,Blue,
33.779591,-84.402939,5434,Blue,
33.77961,-84.402931,5442,Blue,
33.779621,-84.402924,5445,Blue,
33.778568,-84.40152,5515,Blue,
33.777199,-84.402649,5545,Blue,
33.775188,-84.402809,5615,Blue,
33.775089,-84.402832,5617,Blue,
33.775059,-84.402832,5620,Blue,
33.775162,-84.402641,5631,Blue,
33.775162,-84.402634,5643,Blue,
33.773861,-84.401947,5713,Blue,
33.773281,-84.398643,5743,Blue,
33.772888,-84.397102,5805,Blue,
33.7729,-84.397087,5807,Blue,
33.773151,-84.397003,5817,Blue,
33.773201,-84.397011,5822,Blue,
33.773209,-84.397018,5826,Blue,
33.77322,-84.397018,5828,Blue,
33.772831,-84.397102,5858,Blue,
33.772331,-84.39566,5926,Blue,
33.772331,-84.395653,5927,Blue,
33.771301,-84.39534,5957,Blue,
33.771301,-84.392036,10027,Blue,
33.771851,-84.391937,10040,Blue,
33.771839,-84.391937,10056,Blue,
33.771839,-84.391937,10059,Blue,
33.773701,-84.39196,10129,Blue,
33.773762,-84.391953,10132,Blue,
33.773781,-84.391953,10135,Blue,
33.77494,-84.391899,10153,Blue,
33.775009,-84.391876,10157,Blue,
33.775009,-84.391876,10157,Blue,
33.775002,-84.391899,10203,Blue,
33.775902,-84.393501,10233,Blue,
33.77549,-84.395088,10303,Blue,
33.775299,-84.396118,10334,Blue,
33.77523,-84.396111,10339,Blue,
33.77523,-84.396111,10340,Blue,
33.775269,-84.396141,10842,Blue,
33.775269,-84.396141,10852,Blue,
33.775589,-84.395012,10922,Blue,
33.775928,-84.393761,10952,Blue,
33.775139,-84.392029,11022,Blue,
33.774979,-84.392014,11027,Blue,
33.774948,-84.392021,11029,Blue,
33.77496,-84.392021,11041,Blue,
33.774948,-84.392021,11044,Blue,
33.772999,-84.391983,11114,Blue,
33.7715,-84.392052,11130,Blue,
33.771488,-84.392052,11133,Blue,
33.771519,-84.392036,11143,Blue,
33.7715,-84.392036,11146,Blue,
33.771358,-84.393227,11208,Blue,
33.77137,-84.39325,11229,Blue,
33.771431,-84.395447,11259,Blue,
33.772331,-84.395729,11329,Blue,
33.772831,-84.397049,11359,Blue,
33.77309,-84.396927,11408,Blue,
33.77314,-84.396942,11412,Blue,
33.77314,-84.39695,11432,Blue,
33.77314,-84.39695,11434,Blue,
33.772861,-84.397049,11504,Blue,
33.773399,-84.399422,11534,Blue,
33.774021,-84.4021,11604,Blue,
33.77404,-84.402092,11623,Blue,
33.775002,-84.402359,11649,Blue,
33.775028,-84.402367,11653,Blue,
33.775028,-84.402359,11701,Blue,
33.77504,-84.402359,11703,Blue,
33.775799,-84.402489,11733,Blue,
33.777248,-84.402611,11803,Blue,
33.777302,-84.404182,11833,Blue,
33.778301,-84.40416,11858,Blue,
33.778301,-84.40416,11859,Blue,
33.778332,-84.404198,12318,Blue,
33.778339,-84.404198,12327,Blue,
33.779469,-84.404137,12357,Blue,
33.77953,-84.40287,12425,Blue,
33.77953,-84.402847,12427,Blue,
33.779549,-84.402847,12444,Blue,
33.77956,-84.40284,12452,Blue,
33.779572,-84.402603,12503,Blue,
33.779579,-84.402611,12509,Blue,
33.778301,-84.401421,12539,Blue,
33.77655,-84.402473,12609,Blue,
33.77512,-84.402618,12635,Blue,
33.775108,-84.402618,12637,Blue,
33.775131,-84.402618,12644,Blue,
33.77512,-84.402634,12650,Blue,
33.77367,-84.401329,12720,Blue,
33.773109,-84.397842,12750,Blue,
33.772888,-84.397057,12804,Blue,
33.772888,-84.397057,12805,Blue,
33.773178,-84.39695,12815,Blue,
33.773201,-84.39695,12818,Blue,
33.77319,-84.396973,12839,Blue,
33.773201,-84.39698,12842,Blue,
33.77322,-84.396988,12844,Blue,
33.773232,-84.396988,12845,Blue,
33.773232,-84.397003,12916,Blue,
33.773232,-84.397003,12917,Blue,
33.77285,-84.39711,12947,Blue,
33.772339,-84.395576,13017,Blue,
33.77142,-84.395508,13039,Blue,
